Symbol,Date,Close
.DJI,2019-03-20,25745.67
.DJI,2019-03-21,25962.51
.DJI,2019-03-22,25502.32
.DJI,2019-03-25,25516.83
.DJI,2019-03-26,25657.73
.DJI,2019-03-27,25625.59
.DJI,2019-03-28,25717.46
.DJI,2019-03-29,25928.68
.DJI,2019-04-01,26258.42
.DJI,2019-04-02,26179.13
.DJI,2019-04-03,26218.13
.DJI,2019-04-04,26384.63
.DJI,2019-04-05,26424.99
.DJI,2019-04-08,26341.02
.DJI,2019-04-09,26150.58
.DJI,2019-04-10,26157.16
.DJI,2019-04-11,26143.05
.DJI,2019-04-12,26412.3
.DJI,2019-04-15,26384.77
.DJI,2019-04-16,26452.66
.DJI,2019-04-17,26449.54
.DJI,2019-04-22,26511.05
.DJI,2019-04-23,26656.39
.DJI,2019-04-24,26597.05
.DJI,2019-04-25,26462.08
.DJI,2019-04-26,26543.33
.DJI,2019-04-29,26554.39
.DJI,2019-04-30,26592.91
.DJI,2019-05-01,26430.14
.DJI,2019-05-02,26307.79
.DJI,2019-05-03,26504.95
.DJI,2019-05-06,26438.48
.DJI,2019-05-07,25965.09
.DJI,2019-05-08,25967.33
.DJI,2019-05-09,25828.36
.DJI,2019-05-10,25942.37
.DJI,2019-05-13,25324.99
.DJI,2019-05-14,25532.05
.DJI,2019-05-15,25648.02
.DJI,2019-05-16,25862.68
.DJI,2019-05-17,25764
.DJI,2019-05-20,25679.9
.DJI,2019-05-21,25877.33
.DJI,2019-05-22,25776.61
.DJI,2019-05-23,25490.47
.DJI,2019-05-28,25347.77
.DJI,2019-05-29,25126.41
.DJI,2019-05-30,25169.88
.DJI,2019-05-31,24815.04
.DJI,2019-06-03,24819.78
.DJI,2019-06-04,25332.18
.DJI,2019-06-05,25539.57
.DJI,2019-06-06,25720.66
.DJI,2019-06-07,25983.94
.DJI,2019-06-10,26062.68
.DJI,2019-06-11,26048.51
.DJI,2019-06-12,26004.83
.DJI,2019-06-13,26106.77
.DJI,2019-06-14,26089.61
.DJI,2019-06-17,26112.53
.DJI,2019-06-18,26465.54
.DJI,2019-06-19,26504
.DJI,2019-06-20,26753.17
.DJI,2019-06-21,26719.13
.DJI,2019-06-24,26727.54
.DJI,2019-06-25,26548.22
.DJI,2019-06-26,26536.82
.DJI,2019-06-27,26526.58
.DJI,2019-06-28,26599.96
.DJI,2019-07-01,26717.43
.DJI,2019-07-02,26786.68
.DJI,2019-07-05,26922.12
.DJI,2019-07-08,26806.14
.DJI,2019-07-09,26783.49
.DJI,2019-07-10,26860.2
.DJI,2019-07-11,27088.08
.DJI,2019-07-12,27332.03
.DJI,2019-07-15,27359.16
.DJI,2019-07-16,27335.63
.DJI,2019-07-17,27219.85
.DJI,2019-07-18,27222.97
.DJI,2019-07-19,27154.2
.DJI,2019-07-22,27171.9
.DJI,2019-07-23,27349.19
.DJI,2019-07-24,27269.97
.DJI,2019-07-25,27140.98
.DJI,2019-07-26,27192.45
.DJI,2019-07-29,27221.35
.DJI,2019-07-30,27198.02
.DJI,2019-07-31,26864.27
.DJI,2019-08-01,26583.42
.DJI,2019-08-02,26485.01
.DJI,2019-08-05,25717.74
.DJI,2019-08-06,26029.52
.DJI,2019-08-07,26007.07
.DJI,2019-08-08,26378.19
